S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,Ethylene_ppm,Methane_ppm
2359.19,1616.34,1683.5,1896.14,1128.42,1414.98,1439.0,1587.86,3345.79,2684.26,1371.67,1188.0,1023.99,1031.91,1266.78,1005.03,0.0,0.0
2451.87,1681.27,2893.75,3245.09,2719.44,3479.0,2659.17,3075.96,3441.85,2738.17,1972.64,1968.44,2447.33,2623.53,1962.15,1677.72,0.0,100.0
2252.71,1845.91,1181.28,1296.19,1118.95,1678.61,1240.81,1399.52,3151.81,2537.75,1027.55,902.9,1257.49,1120.16,1144.16,903.67,0.0,233.33
2275.97,1723.62,3518.45,3938.93,3436.26,4503.91,3168.16,3715.51,3310.51,2631.84,2289.23,2342.55,3091.0,3372.51,2215.44,1967.28,0.0,183.33
2796.8,1607.35,3195.59,3429.51,1031.51,1253.57,3392.62,3573.4,3862.5,3067.06,3239.67,2551.33,924.41,958.51,3291.22,2558.77,0.0,0.0
2371.88,1651.81,946.99,1070.87,648.18,905.22,972.02,1045.99,3308.21,2672.74,867.22,746.52,605.72,583.61,919.37,705.14,0.0,70.0
2685.04,1627.11,3118.95,3336.52,998.53,1226.84,3356.81,3556.03,3710.0,2938.01,3185.4,2519.1,895.55,958.51,3257.95,2517.06,11.67,0.0
2356.45,1671.07,1265.13,1405.02,821.28,1071.87,1178.63,1287.89,3307.92,2641.72,1078.05,905.8,763.84,776.49,1074.86,833.69,0.0,0.0
2285.79,1625.57,2525.74,2834.76,2402.6,3069.28,2304.98,2702.09,3369.31,2698.41,1674.84,1722.28,2173.09,2304.24,1692.39,1455.42,0.0,73.33
2262.0,1794.29,1246.98,1377.99,789.17,1012.73,1222.94,1337.47,3349.85,2691.59,1108.3,918.2,739.19,733.57,1139.92,884.35,0.0,0.0
2308.19,1883.26,1928.71,2113.8,677.6,891.49,1880.5,1947.5,3471.03,2802.13,2028.19,1584.37,629.02,637.3,1867.42,1410.95,0.0,0.0
2680.59,1704.64,1428.78,1586.55,623.51,853.97,1421.99,1502.82,3675.82,2938.28,1443.26,1129.23,572.87,576.87,1426.66,1080.65,0.0,0.0
2484.51,1809.25,3975.07,4349.78,2692.12,3306.48,3922.82,4330.36,3425.69,2729.72,3314.84,2900.52,2427.69,2617.83,3376.59,2714.97,10.0,83.33
2711.02,1696.84,3508.94,3857.5,2671.96,3411.33,3673.08,4112.78,3771.46,2997.95,3016.67,2618.09,2449.85,2654.73,3136.63,2510.44,8.33,100.0
2376.62,1590.7,1074.86,1213.93,735.44,989.09,1095.26,1151.24,3353.91,2692.64,965.36,808.15,687.08,674.64,993.02,787.46,0.0,0.0
3195.03,1616.78,4465.66,4773.14,1269.26,1477.03,4623.35,4906.83,4284.72,3406.65,4513.16,3573.1,1136.89,1222.12,4488.17,3469.25,18.33,0.0
3257.09,1744.69,4391.46,4708.06,1234.85,1417.1,4492.27,4744.77,4254.89,3379.21,4436.77,3490.25,1090.65,1189.83,4353.46,3374.26,16.67,0.0
2069.07,1814.7,1063.69,1179.24,712.79,954.8,1011.94,1115.94,3212.9,2583.2,928.11,779.89,677.05,664.26,946.99,750.09,0.0,0.0
2060.3,1886.47,1043.41,1178.43,671.3,911.61,1026.36,1115.73,3067.61,2473.1,939.0,807.01,644.67,619.65,958.12,761.01,0.0,0.0
2418.64,1640.77,2912.45,3258.52,2737.11,3514.88,2664.39,3106.64,3466.6,2754.56,1974.27,1961.22,2478.93,2665.17,1963.78,1679.72,0.0,100.0
2637.81,1740.43,3763.44,4117.65,2686.61,3395.54,3677.34,4096.92,3694.42,2934.46,3131.01,2731.57,2434.23,2634.96,3137.47,2523.19,8.33,93.33
2513.49,1613.27,1134.67,1259.14,571.23,828.15,1204.32,1272.15,3557.23,2822.71,1108.9,907.15,547.1,521.99,1203.71,922.67,0.0,0.0
2389.59,1736.61,966.92,1076.46,508.49,774.03,1052.15,1112.12,3365.53,2707.87,973.19,780.84,487.51,460.54,1065.68,802.26,16.67,0.0
2506.36,1752.33,2811.74,3060.95,1371.88,1619.2,2796.53,2971.06,3566.81,2852.48,2600.75,2138.21,1212.09,1275.26,2610.06,2041.63,6.67,0.0
2596.36,1776.66,2513.24,2737.11,1128.62,1412.23,2681.11,2869.71,3556.33,2846.84,2444.3,1976.14,1135.48,1134.27,2573.93,1981.75,6.67,153.33
2918.15,1617.44,3768.07,4087.22,1804.94,2153.58,3592.62,3840.96,4074.63,3199.28,3492.92,2848.45,1616.12,1726.53,3353.62,2636.52,10.0,0.0
2121.45,1890.62,3191.63,3583.0,3209.21,4206.44,2949.73,3427.45,3113.91,2497.71,2068.59,2177.19,2884.01,3107.2,2058.64,1836.33,0.0,183.33
2738.96,1672.18,3157.73,3398.76,1000.9,1215.16,3312.82,3492.32,3779.18,3032.14,3228.27,2547.99,916.84,942.9,3196.16,2468.8,0.0,0.0
2695.26,1692.17,4207.42,4606.66,2748.47,3373.38,3800.85,4193.64,3826.32,3019.98,3341.15,2947.28,2403.35,2635.48,3212.05,2586.55,8.33,0.0
2611.36,1714.46,4470.77,4915.88,3292.95,4111.16,4283.06,4768.17,3737.9,2960.11,3646.66,3222.0,2912.45,3233.11,3568.9,2894.56,10.0,136.67
2293.41,1778.46,3839.4,4289.7,3883.8,5068.43,3434.21,4034.45,3211.2,2540.82,2420.15,2550.81,3445.38,3829.43,2361.68,2098.3,0.0,260.0
2314.85,1699.51,3509.83,3918.09,3397.88,4465.66,3142.53,3675.52,3309.65,2615.76,2265.92,2350.25,3048.19,3306.19,2196.04,1947.26,0.0,0.0
2616.28,1599.02,1232.18,1366.41,587.08,832.73,1269.47,1336.21,3620.34,2883.47,1239.37,990.07,543.84,538.77,1293.7,977.7,0.0,0.0
2543.38,1639.01,4804.82,5265.73,3971.26,5094.34,4593.82,5189.87,3597.43,2873.22,3645.45,3308.78,3578.2,3983.34,3643.63,3025.5,10.0,220.0
2460.2,1675.95,2412.37,2577.79,1039.44,1283.95,3150.12,3401.97,3409.28,2743.19,2140.13,1965.41,962.23,992.83,3049.85,2387.35,16.67,0.0
2263.72,1715.8,3144.78,3537.81,3030.75,3881.92,2875.37,3354.2,3325.81,2654.47,2089.73,2146.61,2695.79,2955.74,2048.71,1806.76,0.0,0.0
2687.66,1654.91,3800.85,4213.67,2918.69,3698.08,3616.72,4041.82,3728.69,2940.73,3024.4,2726.29,2646.4,2863.78,2989.15,2437.0,6.67,100.0
2356.45,1665.31,1054.73,1193.3,712.23,948.55,1055.53,1145.58,3303.88,2667.26,933.94,793.72,652.8,639.88,986.14,763.46,0.0,0.0
2614.98,1631.08,1456.49,1607.35,613.78,857.23,1465.04,1535.86,3605.26,2886.72,1473.17,1161.57,574.69,571.6,1462.69,1099.27,0.0,0.0
2667.78,1733.03,3517.85,3873.46,2567.76,3228.27,3396.42,3774.24,3665.78,2915.7,2865.94,2523.7,2321.27,2506.87,2895.1,2326.21,6.67,73.33
2544.41,1678.61,1642.54,1813.34,659.08,885.32,1652.47,1747.83,3510.13,2839.59,1707.99,1316.58,590.36,616.9,1670.18,1250.48,0.0,0.0
2372.13,1617.66,899.8,997.94,521.27,771.2,999.52,1044.8,3398.76,2727.35,903.67,734.5,480.53,467.67,1006.41,766.1,16.67,0.0
2997.4,1608.0,3523.81,3920.92,2563.13,3223.43,3258.24,3602.85,3982.7,3152.94,3011.44,2553.12,2319.29,2484.25,2749.0,2234.17,0.0,73.33
2578.56,1833.82,4093.68,4556.83,3576.4,4573.4,3723.78,4264.82,3676.74,2920.32,3017.78,2810.14,3210.63,3490.25,2864.05,2399.85,0.0,180.0
2354.72,1854.14,1167.86,1301.39,1076.86,1809.25,1362.84,1527.42,3188.23,2586.04,1135.28,951.87,1226.22,1050.56,1308.04,1021.42,0.0,133.33
2139.89,1855.05,3966.18,4456.13,4030.6,5394.64,3563.81,4185.45,3304.75,2641.98,2518.59,2635.48,3607.67,3988.75,2445.06,2198.71,0.0,286.67
2624.05,1730.79,4013.0,4410.36,2982.02,3782.89,3865.01,4306.0,3694.11,2925.48,3259.95,2905.94,2691.33,2961.21,3224.56,2605.4,8.33,0.0
2247.09,1656.01,4176.28,4658.24,4217.29,5559.95,3685.88,4339.39,3338.83,2655.26,2643.02,2732.36,3768.68,4174.97,2483.49,2242.7,0.0,0.0
2454.14,1633.5,1420.07,1544.32,710.92,975.74,1577.16,1726.09,3456.57,2790.67,1359.69,1127.81,671.3,657.79,1591.36,1234.85,15.0,0.0
2624.57,1605.59,1438.57,1578.25,640.25,864.53,1438.15,1523.31,3680.69,2947.55,1454.99,1131.04,589.09,590.91,1456.92,1101.27,0.0,0.0
2361.68,1673.73,1849.34,2061.96,1210.66,1534.35,1566.48,1732.36,3305.9,2623.79,1449.66,1283.75,1089.25,1139.31,1325.97,1049.17,0.0,0.0
2293.16,1780.95,3960.15,4432.02,4022.59,5224.5,3529.76,4142.34,3193.33,2528.8,2500.76,2614.2,3558.72,3957.29,2366.9,2148.78,0.0,260.0
2389.59,1734.37,967.71,1081.65,516.95,769.88,1055.53,1110.51,3365.53,2709.45,965.75,785.76,462.15,469.28,1076.26,812.71,16.67,0.0
2495.68,1696.4,4198.89,4574.09,2971.6,3679.17,4073.02,4533.07,3533.93,2805.34,3380.66,2999.05,2688.45,2915.43,3428.04,2785.08,10.0,100.0
2688.71,1786.6,3976.98,4388.42,3090.72,3922.82,3884.75,4340.4,3705.72,2926.57,3248.52,2903.23,2782.96,3052.07,3226.27,2624.05,8.33,136.67
2609.8,1605.37,1415.19,1570.19,643.02,861.07,1426.02,1512.95,3668.82,2920.32,1428.78,1117.14,611.95,616.17,1437.51,1069.67,0.0,0.0
2342.06,1818.11,3364.08,3740.36,3178.05,4076.25,3044.31,3542.88,3438.91,2724.98,2248.07,2275.72,2859.74,3097.7,2176.7,1900.75,0.0,143.33
2187.82,1815.61,2525.74,2831.81,2392.34,3068.45,2357.2,2729.99,3238.81,2584.75,1750.98,1746.04,2163.45,2296.12,1764.26,1508.42,0.0,83.33
2050.84,1875.68,940.95,1064.69,613.97,849.95,962.03,1050.96,3090.17,2474.11,856.27,730.19,578.69,567.41,927.52,717.09,0.0,0.0
2959.02,1626.45,4134.86,4517.62,2719.97,3376.59,4022.27,4436.43,3946.84,3106.92,3529.46,3002.9,2466.27,2671.7,3519.04,2820.57,10.0,73.33
2804.53,1696.4,3763.75,4155.38,2917.33,3688.31,3391.75,3823.83,3933.87,3120.64,3051.79,2645.1,2619.39,2863.24,2787.75,2264.21,0.0,106.67
2344.29,1665.31,1061.9,1205.14,699.36,959.1,1051.75,1147.2,3307.92,2652.39,945.24,792.2,671.67,669.45,974.56,774.6,0.0,0.0
2324.73,1707.09,1548.66,1708.66,951.48,1201.46,1544.32,1677.28,3294.39,2639.37,1308.67,1122.17,879.34,901.54,1381.15,1112.92,8.33,0.0
2611.61,1680.83,3875.65,4256.21,3005.65,3821.03,3664.26,4117.65,3694.11,2913.53,3041.82,2763.84,2747.15,2941.82,2993.82,2437.75,6.67,113.33
2399.1,1686.38,1654.24,1848.19,1011.34,1253.16,1521.8,1640.11,3490.55,2786.15,1386.0,1182.7,933.75,953.82,1364.94,1067.88,0.0,0.0
2325.72,1690.16,2947.82,3314.84,2805.87,3610.39,2728.93,3158.85,3410.46,2724.19,1996.72,2012.67,2527.53,2728.14,1956.56,1692.39,0.0,106.67
2492.88,1628.22,1158.53,1278.78,556.7,823.0,1223.56,1274.64,3480.19,2801.87,1183.52,944.26,541.67,530.28,1232.38,929.47,8.33,0.0
2425.93,1739.53,2586.55,2885.64,2240.51,2829.94,2442.03,2772.59,3431.27,2729.72,1915.52,1829.94,2036.44,2167.78,1927.78,1591.14,0.0,66.67
2410.62,1616.34,1013.32,1124.39,534.8,797.89,1093.66,1149.62,3448.91,2753.77,1012.92,828.15,501.49,504.0,1102.68,811.95,0.0,0.0
2395.59,1727.65,1713.34,1853.68,708.68,968.69,2030.31,2149.02,3387.95,2734.21,1678.61,1422.2,656.12,654.09,1996.95,1544.75,6.67,0.0
2669.35,1790.67,3505.37,3865.63,2424.42,3054.84,3547.06,3924.08,3690.75,2930.11,3026.61,2634.96,2195.32,2370.39,3084.31,2471.08,8.33,73.33
2276.71,1729.44,3124.0,3505.97,3029.37,3909.89,2883.2,3365.82,3324.08,2644.06,2098.54,2140.61,2693.43,2974.89,2061.01,1794.52,6.67,136.67
2365.66,1675.95,1205.14,1336.63,798.27,1071.07,1162.79,1259.35,3310.23,2653.95,1067.08,907.35,750.09,723.07,1072.86,837.51,0.0,183.33
2491.61,1616.34,1713.57,1861.46,730.75,997.94,2035.26,2168.26,3494.4,2799.73,1684.16,1414.98,674.45,680.76,2015.72,1566.48,6.67,0.0
2268.13,1919.22,1230.33,1341.65,548.91,767.05,1242.66,1320.96,3207.51,2571.36,1256.46,997.94,508.49,506.52,1304.09,976.33,0.0,0.0
2367.4,1673.28,3432.44,3842.51,3048.19,3919.98,3002.62,3454.21,3361.75,2658.64,2252.22,2282.35,2660.47,2920.59,2109.27,1853.45,0.0,0.0
2437.0,1718.26,1125.19,1259.55,543.11,791.25,1201.25,1267.19,3362.62,2723.13,1184.74,923.06,504.36,497.36,1215.57,913.74,0.0,133.33
2619.39,1717.59,4222.88,4645.31,3114.75,3888.83,3977.93,4433.72,3703.58,2941.28,3352.75,3013.09,2683.21,2988.61,3272.56,2670.13,8.33,0.0
2874.57,1623.16,3420.41,3660.92,1050.56,1277.74,3580.0,3783.51,3895.11,3099.38,3470.73,2744.51,958.12,1008.98,3475.16,2683.21,11.67,0.0
3210.91,1738.18,4549.24,4841.66,1259.97,1436.66,4639.38,4922.04,4198.23,3332.18,4509.39,3600.44,1111.51,1210.66,4488.52,3471.62,18.33,0.0
2581.66,1601.21,2209.13,2412.12,781.41,1026.76,2329.18,2440.52,3617.02,2919.51,2330.66,1787.95,726.44,742.57,2278.18,1744.02,0.0,0.0
2237.58,1842.03,3142.53,3553.64,3228.27,4238.7,2956.01,3416.31,3187.66,2556.2,1979.41,2136.3,2897.81,3121.48,2040.92,1804.26,0.0,183.33
2325.96,1695.73,2327.7,2681.9,3273.13,4462.94,2819.5,3394.96,3338.54,2666.21,1325.35,1684.38,3013.92,3257.38,1799.95,1698.62,0.0,250.0
2349.25,1716.47,3150.97,3530.95,3024.4,3913.04,2894.83,3351.59,3406.94,2703.93,2131.74,2162.24,2700.78,2946.18,2099.01,1816.07,0.0,136.67
2653.17,1686.16,3107.48,3313.97,993.61,1223.15,3342.31,3550.95,3688.62,2927.66,3126.8,2501.53,891.69,941.34,3261.1,2504.58,10.0,0.0
3022.19,1606.69,4226.83,4618.48,2853.29,3532.74,4085.93,4512.13,4011.72,3167.31,3582.1,3039.88,2541.34,2770.47,3529.76,2846.84,10.0,0.0
2665.17,1790.22,3659.71,4014.6,2505.6,3125.12,3605.26,3997.04,3701.14,2929.56,3110.56,2694.21,2258.58,2436.49,3140.0,2494.66,8.33,73.33
2463.74,1600.99,1649.16,1785.24,732.07,993.61,1959.59,2082.83,3503.59,2807.2,1602.52,1363.26,665.74,656.12,1948.66,1521.58,6.67,0.0
2287.26,1756.83,2390.84,2690.54,2206.95,2835.03,2250.02,2622.76,3335.07,2646.66,1666.41,1674.84,1981.05,2114.76,1694.17,1445.39,0.0,66.67
2360.93,1664.42,784.62,854.74,525.41,791.25,824.72,884.55,3318.59,2670.65,715.22,615.98,512.27,485.54,812.52,617.82,0.0,100.0
2560.82,1611.51,2049.42,2215.68,1165.43,1436.66,2055.57,2278.91,3516.37,2809.87,1689.28,1488.41,1060.11,1114.93,1901.9,1486.47,10.0,0.0
2408.36,1651.81,2900.25,3258.81,2723.66,3523.81,2649.0,3085.15,3417.78,2717.6,1949.12,1964.25,2490.09,2677.71,1917.6,1665.97,0.0,100.0
2378.36,1663.53,1498.51,1659.99,939.0,1229.1,1351.92,1477.46,3338.54,2672.22,1269.26,1088.05,876.07,879.54,1219.25,951.68,0.0,0.0
2833.96,1622.06,2027.48,2226.62,718.58,944.26,1945.87,2035.02,3900.14,3119.51,2120.97,1623.6,674.45,675.93,1940.76,1465.25,0.0,0.0
2357.7,1693.72,2979.82,3330.15,2799.47,3596.53,2746.89,3190.78,3480.78,2736.05,2003.75,2028.19,2533.4,2727.88,1986.89,1705.53,0.0,106.67
2334.87,1718.71,3096.86,3492.32,2931.47,3884.75,2830.74,3290.36,3395.54,2709.97,2070.96,2103.3,2665.95,2867.02,2064.33,1780.04,0.0,133.33
2315.34,1747.61,2409.61,2706.03,2199.43,2823.24,2261.27,2614.98,3342.31,2656.04,1673.51,1692.17,1988.53,2126.95,1709.1,1454.78,0.0,66.67
2739.75,1691.72,1568.01,1732.13,648.18,873.18,1529.8,1616.78,3738.51,2999.6,1622.94,1244.72,600.78,597.31,1557.56,1167.86,0.0,0.0
2680.85,1698.85,2951.1,3187.95,1219.66,1432.19,3024.95,3210.06,3736.67,2975.44,2823.78,2273.27,1126.61,1174.36,2899.43,2249.29,8.33,0.0
2366.65,1660.88,1262.86,1399.52,819.19,1076.66,1173.35,1283.95,3303.31,2632.36,1068.48,909.67,778.0,774.98,1066.88,836.93,0.0,0.0
2070.49,1958.66,3357.97,3581.2,1566.27,1826.53,3659.1,4004.7,3059.56,2429.95,2846.3,2578.56,1408.41,1579.56,3467.19,2716.81,16.67,0.0
2622.76,1624.69,2759.06,3070.12,2439.01,3105.8,2601.01,2939.64,3571.6,2854.09,2020.9,1905.13,2234.66,2370.39,1991.33,1658.0,0.0,73.33
2376.87,1657.34,2405.86,2702.35,2298.08,3002.35,2244.65,2636.77,3367.86,2696.05,1561.48,1647.17,2103.78,2223.22,1635.7,1405.45,0.0,70.0
2431.96,1712.0,3080.97,3453.03,2921.14,3877.22,2834.22,3287.77,3389.7,2695.26,2032.9,2092.58,2669.09,2856.25,2035.26,1771.24,0.0,133.33
2293.66,1780.5,1147.4,1287.69,753.86,1004.64,1123.78,1214.95,3321.19,2662.56,1013.12,872.6,704.58,689.87,1044.0,810.24,0.0,0.0
2393.84,1669.52,1333.7,1469.32,583.98,831.01,1379.67,1457.56,3470.43,2783.22,1362.84,1058.91,545.47,550.54,1406.51,1033.89,0.0,0.0
2345.28,1670.85,1237.31,1379.89,806.44,1064.89,1189.22,1296.4,3275.71,2649.52,1072.86,903.09,754.42,765.35,1107.09,852.06,0.0,183.33
3029.65,1626.23,3755.74,4001.82,1129.43,1316.38,3900.14,4129.98,4126.41,3282.03,3787.22,3007.3,1015.49,1084.25,3798.99,2938.28,13.33,0.0
3260.24,1726.98,4266.47,4569.6,1246.36,1416.89,4366.89,4634.5,4285.05,3398.17,4289.37,3381.83,1096.26,1170.1,4229.8,3281.17,16.67,0.0
3115.03,1735.49,4501.17,4807.32,1248.42,1450.72,4633.45,4885.52,4143.97,3276.29,4508.36,3566.21,1112.72,1214.34,4483.05,3469.55,18.33,0.0
2748.74,1690.39,4078.5,4464.64,3015.57,3807.05,3869.07,4328.36,3857.5,3047.63,3292.95,2893.75,2696.58,2983.39,3255.38,2637.29,8.33,106.67
2178.64,1878.89,2802.13,3166.47,2709.45,3573.4,2593.0,3009.23,3305.33,2633.14,1837.24,1941.92,2439.77,2613.17,1864.21,1613.49,0.0,113.33
2530.08,1603.18,1327.64,1461.62,611.95,853.59,1348.98,1415.62,3545.27,2848.72,1349.4,1043.21,564.69,573.41,1362.84,1027.15,0.0,0.0
2298.58,1712.0,3505.97,3929.13,2788.54,3494.7,2823.78,3237.39,3320.61,2645.62,2345.53,2297.84,2397.84,2637.81,2041.63,1769.21,0.0,0.0
2364.16,1664.42,1226.63,1347.52,761.58,1010.95,1180.06,1278.98,3348.4,2680.33,1076.06,885.32,693.96,717.28,1129.63,866.07,0.0,233.33
2302.02,1692.39,925.19,1037.26,622.41,871.64,960.66,1022.21,3259.38,2643.54,846.12,724.01,565.05,538.59,909.28,709.62,0.0,250.0
2705.24,1691.72,2907.29,3131.29,1131.64,1332.24,2980.92,3169.85,3750.81,3004.55,2834.22,2251.0,1011.94,1071.47,2869.17,2231.98,8.33,100.0
2876.99,1683.05,5213.57,5665.08,3140.28,3976.98,5170.0,5651.11,3931.03,3111.68,4662.78,3883.49,2860.28,3119.23,4602.84,3650.6,18.33,116.67
2876.45,1610.64,3225.7,3497.36,1269.05,1462.26,3326.1,3522.32,3931.03,3124.56,3198.43,2549.79,1132.45,1203.09,3213.76,2497.71,10.0,0.0
2536.73,1612.61,1617.66,1763.58,642.09,874.91,1600.55,1684.16,3558.13,2876.18,1666.19,1289.97,584.89,595.48,1614.81,1220.07,0.0,0.0
2341.81,1656.45,1248.83,1389.8,819.19,1074.86,1169.28,1269.88,3278.3,2624.31,1074.06,911.42,760.64,768.37,1073.46,846.88,0.0,0.0
