PS1,PS2,PS3,PS4,PS5,PS6,EPS1,FS1,FS2,TS1,TS2,TS3,TS4,VS1,CE,CP,SE,Hydraulic_accumulator
159.09,108.21,1.81,0.0,8.95,8.87,2465.31,6.67,9.89,45.63,50.06,46.87,42.44,0.59,17.68,1.18,59.92,130.0
158.99,108.13,1.8,0.0,8.92,8.84,2461.77,6.67,9.86,46.06,50.51,47.32,42.8,0.58,17.78,1.2,60.05,130.0
158.86,108.04,1.8,0.0,8.89,8.82,2459.51,6.65,9.84,46.46,50.92,47.71,43.15,0.58,17.69,1.21,59.81,130.0
158.82,107.98,1.79,0.0,8.89,8.81,2458.17,6.65,9.8,46.84,51.3,48.06,43.45,0.58,17.72,1.22,59.87,130.0
158.79,107.95,1.79,0.0,8.86,8.79,2455.59,6.64,9.78,47.15,51.65,48.44,43.73,0.59,17.82,1.24,59.77,130.0
158.65,107.84,1.79,0.0,8.84,8.76,2452.3,6.66,9.76,47.47,52.0,48.74,44.04,0.6,17.56,1.24,60.1,130.0
158.6,107.76,1.8,0.0,8.82,8.74,2448.33,6.65,9.74,47.75,52.31,49.09,44.3,0.6,17.66,1.26,60.02,130.0
158.62,107.79,1.8,0.0,8.82,8.75,2444.72,6.64,9.7,48.03,52.58,49.35,44.5,0.62,17.73,1.27,59.94,130.0
158.57,107.74,1.8,0.0,8.83,8.76,2441.78,6.64,9.66,48.27,52.84,49.63,44.67,0.63,17.94,1.29,60.19,130.0
158.53,107.73,1.79,0.0,8.83,8.76,2438.77,6.64,9.63,48.5,53.06,49.86,44.86,0.62,17.96,1.3,60.08,130.0
158.51,107.73,1.79,0.0,8.83,8.75,2437.65,6.63,9.62,48.71,53.26,50.08,45.05,0.63,17.93,1.3,59.96,130.0
158.44,107.71,1.79,0.0,8.81,8.74,2437.13,6.63,9.61,48.92,53.46,50.27,45.21,0.63,17.96,1.31,60.04,130.0
158.34,107.59,1.74,0.0,8.8,8.73,2434.61,6.65,9.6,49.11,53.67,50.52,45.32,0.64,18.29,1.34,60.35,130.0
158.27,107.52,1.73,0.0,8.8,8.73,2432.51,6.63,9.57,49.32,53.87,50.72,45.5,0.64,18.27,1.35,60.22,130.0
158.25,107.48,1.74,0.0,8.79,8.72,2432.65,6.65,9.55,49.5,54.06,50.91,45.54,0.63,18.65,1.38,60.43,130.0
158.09,107.35,1.74,0.0,8.78,8.71,2428.35,6.64,9.54,49.66,54.21,51.07,45.77,0.64,18.26,1.36,60.36,130.0
157.95,107.23,1.73,0.0,8.78,8.71,2425.84,6.64,9.53,49.82,54.38,51.16,45.8,0.63,18.43,1.38,60.39,130.0
157.96,107.22,1.74,0.0,8.77,8.7,2425.47,6.63,9.52,49.93,54.49,51.35,45.93,0.64,18.58,1.39,60.15,130.0
157.9,107.18,1.73,0.0,8.76,8.7,2424.28,6.62,9.51,50.03,54.6,51.5,46.07,0.63,18.48,1.39,60.06,130.0
157.97,107.24,1.74,0.0,8.76,8.69,2424.37,6.64,9.5,50.17,54.72,51.58,46.08,0.63,18.74,1.41,60.37,130.0
157.88,107.13,1.73,0.0,8.75,8.69,2423.38,6.63,9.49,50.28,54.87,51.73,46.21,0.64,18.71,1.41,60.21,130.0
157.83,107.09,1.73,0.0,8.74,8.68,2421.67,6.64,9.47,50.39,54.99,51.87,46.36,0.65,18.63,1.41,60.34,130.0
157.8,107.07,1.73,0.0,8.75,8.68,2421.09,6.63,9.47,50.5,55.09,51.95,46.36,0.64,18.91,1.43,60.2,130.0
157.77,107.02,1.72,0.0,8.74,8.68,2421.49,6.62,9.46,50.6,55.21,52.06,46.49,0.64,18.78,1.42,60.0,130.0
157.76,107.02,1.72,0.0,8.74,8.68,2422.78,6.63,9.45,50.67,55.3,52.14,46.57,0.64,18.72,1.42,60.2,130.0
157.83,107.08,1.72,0.0,8.73,8.67,2424.24,6.64,9.44,50.72,55.35,52.29,46.66,0.65,18.85,1.43,60.25,130.0
157.74,106.99,1.73,0.0,8.74,8.67,2420.98,6.63,9.44,50.81,55.45,52.33,46.58,0.63,19.21,1.46,60.27,130.0
157.79,107.04,1.74,0.0,8.74,8.68,2424.34,6.62,9.44,50.91,55.55,52.42,46.51,0.63,19.66,1.5,59.96,130.0
157.69,106.97,1.73,0.0,8.73,8.67,2421.64,6.62,9.43,50.98,55.6,52.49,46.76,0.63,19.02,1.46,60.02,130.0
157.66,106.92,1.73,0.0,8.72,8.66,2421.67,6.62,9.42,51.07,55.68,52.54,46.8,0.63,18.98,1.46,60.0,130.0
157.63,106.93,1.73,0.0,8.73,8.67,2420.58,6.62,9.42,51.12,55.73,52.64,46.8,0.64,19.27,1.48,60.06,130.0
157.59,106.91,1.74,0.0,8.72,8.66,2418.86,6.63,9.41,51.19,55.79,52.72,46.9,0.64,19.12,1.47,60.25,130.0
157.58,106.88,1.74,0.0,8.72,8.66,2419.73,6.62,9.41,51.22,55.84,52.79,46.93,0.64,19.31,1.49,60.06,130.0
157.58,106.89,1.73,0.0,8.72,8.66,2422.49,6.64,9.41,51.29,55.9,52.86,46.96,0.66,19.37,1.49,60.36,130.0
157.56,106.84,1.72,0.0,8.71,8.65,2417.85,6.64,9.4,51.35,55.98,52.89,46.92,0.63,19.59,1.51,60.48,130.0
157.56,106.87,1.71,0.0,8.71,8.65,2417.66,6.63,9.4,51.39,56.03,52.93,46.98,0.63,19.55,1.51,60.34,130.0
157.57,106.9,1.71,0.0,8.7,8.65,2417.01,6.62,9.39,51.47,56.08,53.0,47.01,0.63,19.63,1.52,60.25,130.0
157.61,106.92,1.72,0.0,8.7,8.64,2417.64,6.62,9.39,51.52,56.16,53.03,46.99,0.64,19.81,1.53,60.23,130.0
157.55,106.87,1.72,0.0,8.7,8.64,2415.61,6.62,9.38,51.57,56.2,53.12,47.16,0.66,19.53,1.51,60.22,130.0
157.53,106.84,1.72,0.0,8.7,8.64,2416.26,6.62,9.38,51.61,56.27,53.14,47.18,0.63,19.51,1.51,60.29,130.0
157.53,106.83,1.72,0.0,8.7,8.64,2416.15,6.62,9.38,51.66,56.32,53.14,47.1,0.63,19.75,1.53,60.21,130.0
157.63,106.93,1.73,0.0,8.7,8.64,2416.87,6.63,9.37,51.7,56.37,53.24,47.14,0.65,19.88,1.54,60.38,130.0
157.54,106.85,1.73,0.0,8.7,8.64,2415.16,6.63,9.37,51.74,56.39,53.28,47.29,0.64,19.57,1.51,60.54,130.0
157.51,106.8,1.73,0.0,8.69,8.63,2413.12,6.64,9.36,51.76,56.42,53.35,47.38,0.64,19.41,1.5,60.64,130.0
157.52,106.83,1.73,0.0,8.69,8.63,2412.4,6.62,9.35,51.79,56.48,53.35,47.33,0.64,19.58,1.52,60.29,130.0
157.48,106.78,1.72,0.0,8.69,8.63,2411.0,6.64,9.35,51.85,56.53,53.38,47.17,0.64,20.16,1.56,60.67,130.0
157.5,106.81,1.73,0.0,8.69,8.63,2412.43,6.64,9.35,51.88,56.57,53.39,47.34,0.64,19.66,1.52,60.63,130.0
157.47,106.76,1.73,0.0,8.69,8.63,2411.98,6.63,9.34,51.91,56.61,53.44,47.38,0.63,19.67,1.53,60.53,130.0
157.45,106.8,1.72,0.0,8.69,8.63,2411.35,6.62,9.34,51.93,56.63,53.47,47.25,0.64,20.12,1.56,60.37,130.0
157.47,106.79,1.73,0.0,8.68,8.62,2411.76,6.63,9.34,51.92,56.64,53.52,47.3,0.63,20.12,1.57,60.54,130.0
157.44,106.76,1.73,0.0,8.68,8.62,2409.76,6.62,9.34,51.98,56.67,53.52,47.32,0.64,20.07,1.56,60.45,130.0
157.45,106.8,1.73,0.0,8.68,8.62,2409.63,6.63,9.33,52.0,56.7,53.56,47.26,0.64,20.34,1.58,60.52,130.0
157.45,106.78,1.73,0.0,8.68,8.62,2409.81,6.63,9.33,52.01,56.71,53.56,47.21,0.64,20.48,1.59,60.6,130.0
157.44,106.75,1.73,0.0,8.68,8.62,2410.09,6.64,9.33,52.03,56.72,53.61,47.56,0.64,19.53,1.52,60.68,130.0
157.41,106.73,1.73,0.0,8.68,8.62,2410.55,6.63,9.34,52.06,56.74,53.57,47.47,0.64,19.75,1.54,60.61,130.0
157.43,106.76,1.72,0.0,8.68,8.62,2410.03,6.64,9.34,52.1,56.78,53.65,47.46,0.64,19.96,1.56,60.64,130.0
157.41,106.74,1.73,0.0,8.68,8.62,2408.91,6.62,9.33,52.16,56.84,53.67,47.42,0.64,20.21,1.57,60.36,130.0
157.4,106.72,1.73,0.0,8.68,8.62,2408.17,6.62,9.33,52.16,56.84,53.7,47.65,0.65,19.58,1.52,60.44,130.0
157.4,106.74,1.73,0.0,8.67,8.61,2406.79,6.62,9.33,52.21,56.86,53.74,47.75,0.65,19.52,1.5,60.56,130.0
157.34,106.68,1.72,0.0,8.67,8.61,2409.19,6.62,9.33,52.3,56.87,53.82,47.88,0.65,19.71,1.49,60.4,130.0
157.33,106.67,1.72,0.0,8.67,8.61,2409.42,6.62,9.33,52.38,56.9,53.82,47.89,0.64,19.86,1.49,60.34,130.0
157.36,106.68,1.74,0.0,8.66,8.6,2409.18,6.64,9.32,52.41,56.95,53.97,47.67,0.64,21.1,1.58,60.7,130.0
157.33,106.64,1.74,0.0,8.66,8.6,2409.44,6.62,9.32,52.42,56.99,54.02,47.94,0.65,20.32,1.53,60.44,130.0
157.32,106.65,1.74,0.0,8.66,8.6,2409.31,6.64,9.32,52.53,57.04,54.06,48.0,0.65,20.2,1.52,60.61,130.0
157.31,106.64,1.73,0.0,8.65,8.6,2406.85,6.61,9.31,52.6,57.08,54.14,47.97,0.64,20.59,1.55,60.36,130.0
157.29,106.61,1.73,0.0,8.65,8.59,2407.14,6.62,9.31,52.64,57.11,54.19,48.02,0.64,20.64,1.55,60.41,130.0
157.26,106.59,1.73,0.0,8.65,8.59,2406.75,6.63,9.31,52.7,57.19,54.23,48.0,0.65,20.83,1.56,60.57,130.0
157.25,106.58,1.72,0.0,8.64,8.59,2406.83,6.62,9.31,52.68,57.2,54.27,48.07,0.65,20.71,1.55,60.5,130.0
157.24,106.59,1.71,0.0,8.65,8.59,2406.64,6.6,9.3,52.77,57.25,54.29,48.23,0.65,20.28,1.52,60.26,130.0
157.26,106.6,1.71,0.0,8.64,8.59,2406.55,6.61,9.3,52.8,57.29,54.36,48.14,0.65,20.9,1.56,60.3,130.0
157.23,106.59,1.71,0.0,8.64,8.58,2407.51,6.61,9.3,52.83,57.32,54.41,48.16,0.64,20.96,1.56,60.3,130.0
157.22,106.56,1.73,0.0,8.64,8.58,2407.38,6.6,9.3,52.83,57.35,54.43,48.27,0.65,20.62,1.54,60.25,130.0
157.24,106.59,1.72,0.0,8.64,8.58,2407.51,6.61,9.29,52.89,57.38,54.43,48.3,0.66,20.42,1.54,60.25,130.0
157.23,106.57,1.71,0.0,8.64,8.58,2407.11,6.61,9.29,52.9,57.44,54.43,48.28,0.64,20.3,1.54,60.26,130.0
157.24,106.58,1.72,0.0,8.64,8.58,2409.44,6.61,9.29,52.91,57.44,54.47,48.23,0.64,20.63,1.56,60.27,130.0
157.23,106.54,1.72,0.0,8.63,8.58,2406.65,6.62,9.29,52.94,57.47,54.51,48.13,0.64,21.12,1.6,60.57,130.0
157.21,106.53,1.72,0.0,8.63,8.57,2409.02,6.61,9.29,52.98,57.49,54.54,48.18,0.65,20.99,1.59,60.21,130.0
157.21,106.52,1.72,0.0,8.63,8.58,2411.26,6.63,9.28,53.0,57.51,54.53,48.18,0.65,20.96,1.59,60.52,130.0
157.2,106.53,1.72,0.0,8.63,8.57,2410.36,6.61,9.28,53.02,57.54,54.59,48.22,0.65,20.99,1.59,60.16,130.0
157.2,106.53,1.72,0.0,8.63,8.57,2411.29,6.61,9.28,53.05,57.54,54.62,48.31,0.65,20.87,1.58,60.19,130.0
157.17,106.51,1.73,0.0,8.63,8.57,2412.22,6.62,9.28,53.07,57.55,54.64,48.28,0.65,21.11,1.59,60.44,130.0
157.17,106.48,1.72,0.0,8.63,8.58,2413.52,6.63,9.29,53.12,57.57,54.66,48.42,0.65,20.84,1.56,60.47,130.0
157.16,106.48,1.72,0.0,8.63,8.57,2413.38,6.63,9.28,53.16,57.59,54.68,48.2,0.63,21.74,1.62,60.45,130.0
157.15,106.47,1.72,0.0,8.63,8.57,2414.01,6.61,9.28,53.18,57.61,54.72,48.48,0.64,20.82,1.56,60.19,130.0
157.17,106.49,1.72,0.0,8.63,8.57,2410.67,6.61,9.28,53.19,57.67,54.68,48.63,0.64,19.97,1.52,60.33,130.0
157.17,106.48,1.72,0.0,8.62,8.56,2409.27,6.61,9.27,53.21,57.74,54.75,48.71,0.65,19.72,1.51,60.2,130.0
157.13,106.46,1.73,0.0,8.62,8.56,2406.91,6.63,9.28,53.2,57.74,54.77,48.73,0.67,19.83,1.51,60.65,130.0
157.14,106.48,1.73,0.0,8.62,8.56,2405.87,6.6,9.27,53.26,57.76,54.77,48.74,0.67,19.71,1.5,60.28,130.0
157.13,106.42,1.73,0.0,8.61,8.55,2404.47,6.61,9.26,53.23,57.78,54.82,48.77,0.64,19.66,1.51,60.44,130.0
157.13,106.42,1.73,0.0,8.61,8.55,2404.43,6.61,9.26,53.25,57.8,54.89,48.8,0.66,19.69,1.52,60.38,130.0
157.15,106.42,1.74,0.0,8.61,8.55,2404.39,6.62,9.26,53.28,57.82,54.87,48.74,0.65,19.92,1.53,60.59,130.0
157.11,106.41,1.74,0.0,8.61,8.55,2404.58,6.61,9.26,53.32,57.81,54.86,48.73,0.65,20.03,1.53,60.46,130.0
157.12,106.42,1.72,0.0,8.61,8.55,2403.73,6.62,9.26,53.35,57.85,54.85,48.79,0.66,19.7,1.51,60.61,130.0
157.11,106.41,1.73,0.0,8.61,8.55,2403.63,6.62,9.26,53.35,57.87,54.9,48.85,0.65,19.67,1.51,60.6,130.0
157.08,106.4,1.74,0.0,8.6,8.54,2402.31,6.6,9.25,53.38,57.88,54.93,48.88,0.64,19.78,1.51,60.34,130.0
157.07,106.4,1.73,0.0,8.6,8.55,2401.6,6.6,9.25,53.42,57.9,54.91,48.73,0.65,20.33,1.54,60.37,130.0
157.05,106.36,1.73,0.0,8.6,8.54,2402.14,6.62,9.25,53.46,57.92,54.97,48.87,0.66,20.03,1.52,60.69,130.0
157.1,106.41,1.73,0.0,8.6,8.54,2404.36,6.61,9.25,53.47,57.94,54.99,48.84,0.65,20.28,1.53,60.41,130.0
157.07,106.41,1.74,0.0,8.6,8.54,2404.65,6.6,9.25,53.52,57.98,55.02,48.91,0.67,20.08,1.52,60.21,130.0
157.12,106.44,1.73,0.0,8.6,8.54,2405.49,6.61,9.25,53.52,58.03,55.06,49.0,0.65,19.77,1.51,60.3,130.0
157.11,106.43,1.73,0.0,8.6,8.54,2406.75,6.62,9.24,53.49,58.04,55.1,48.99,0.65,19.89,1.52,60.57,130.0
157.02,106.32,1.73,0.0,8.6,8.54,2405.26,6.6,9.25,53.56,58.06,55.1,49.01,0.66,19.92,1.52,60.22,130.0
157.03,106.36,1.73,0.0,8.6,8.54,2406.22,6.61,9.25,53.57,58.06,55.11,48.94,0.66,20.28,1.54,60.31,130.0
157.01,106.34,1.73,0.0,8.59,8.53,2406.39,6.62,9.24,53.59,58.08,55.15,49.01,0.66,20.19,1.53,60.49,130.0
157.03,106.36,1.73,0.0,8.59,8.53,2405.33,6.6,9.24,53.61,58.09,55.15,49.0,0.65,20.27,1.53,60.26,130.0
156.99,106.3,1.73,0.0,8.59,8.53,2402.61,6.61,9.24,53.65,58.12,55.17,49.08,0.67,20.05,1.52,60.51,130.0
156.99,106.33,1.71,0.0,8.59,8.53,2403.06,6.6,9.23,53.65,58.13,55.22,49.1,0.66,19.96,1.52,60.31,130.0
157.03,106.36,1.73,0.0,8.59,8.53,2401.9,6.61,9.24,53.67,58.18,55.19,49.08,0.65,19.81,1.52,60.51,130.0
157.05,106.35,1.73,0.0,8.59,8.53,2402.36,6.6,9.23,53.65,58.19,55.21,49.08,0.65,19.78,1.53,60.24,130.0
157.08,106.38,1.74,0.0,8.59,8.53,2402.15,6.61,9.23,53.64,58.19,55.23,49.09,0.66,19.74,1.53,60.5,130.0
157.0,106.33,1.74,0.0,8.58,8.52,2403.07,6.6,9.23,53.64,58.2,55.25,49.11,0.64,19.71,1.53,60.41,130.0
156.99,106.29,1.74,0.0,8.58,8.52,2400.85,6.61,9.23,53.65,58.22,55.26,49.12,0.65,19.65,1.53,60.62,130.0
156.99,106.31,1.73,0.0,8.59,8.53,2400.5,6.59,9.23,53.68,58.24,55.24,49.12,0.65,19.61,1.52,60.19,130.0
157.01,106.32,1.74,0.0,8.58,8.52,2400.49,6.61,9.23,53.7,58.26,55.26,49.12,0.65,19.65,1.53,60.57,130.0
157.04,106.36,1.74,0.0,8.58,8.52,2402.23,6.61,9.23,53.69,58.27,55.27,49.05,0.66,19.91,1.55,60.53,130.0
157.26,106.58,1.73,0.0,8.58,8.52,2405.61,6.61,9.23,53.69,58.27,55.29,49.17,0.65,19.56,1.52,60.6,130.0
157.09,106.41,1.74,0.0,8.58,8.52,2400.75,6.61,9.23,53.7,58.27,55.3,49.16,0.66,19.6,1.53,60.59,130.0
157.09,106.39,1.75,0.0,8.58,8.53,2402.05,6.61,9.23,53.74,58.3,55.3,49.18,0.66,19.54,1.52,60.53,130.0
157.04,106.35,1.75,0.0,8.58,8.53,2401.46,6.6,9.23,53.77,58.32,55.28,49.19,0.67,19.44,1.52,60.28,130.0
157.02,106.33,1.75,0.0,8.58,8.52,2399.83,6.61,9.23,53.78,58.34,55.29,49.17,0.66,19.55,1.52,60.54,130.0
157.02,106.33,1.74,0.0,8.58,8.52,2400.66,6.61,9.22,53.77,58.34,55.3,49.15,0.65,19.65,1.53,60.59,130.0
156.99,106.33,1.73,0.0,8.58,8.52,2401.51,6.61,9.23,53.76,58.35,55.32,49.17,0.65,19.64,1.53,60.46,130.0
156.99,106.31,1.74,0.0,8.58,8.52,2402.14,6.6,9.23,53.77,58.36,55.3,49.18,0.67,19.56,1.52,60.37,130.0
157.02,106.3,1.74,0.0,8.58,8.52,2402.49,6.61,9.23,53.76,58.36,55.38,49.19,0.66,19.74,1.54,60.43,130.0
156.99,106.31,1.74,0.0,8.58,8.52,2401.57,6.6,9.23,53.78,58.36,55.36,49.2,0.66,19.63,1.53,60.34,130.0
157.08,106.4,1.74,0.0,8.58,8.52,2402.04,6.61,9.22,53.81,58.39,55.34,49.2,0.65,19.6,1.53,60.54,130.0
157.09,106.39,1.74,0.0,8.58,8.52,2403.12,6.6,9.22,53.82,58.4,55.35,49.22,0.66,19.58,1.53,60.3,130.0
157.04,106.34,1.74,0.0,8.58,8.52,2402.84,6.61,9.22,53.8,58.39,55.37,49.2,0.65,19.63,1.53,60.53,130.0
157.04,106.34,1.74,0.0,8.58,8.52,2403.62,6.61,9.23,53.84,58.4,55.36,49.22,0.65,19.55,1.53,60.47,130.0
157.03,106.34,1.75,0.0,8.57,8.52,2401.36,6.6,9.22,53.83,58.41,55.38,49.21,0.66,19.58,1.53,60.27,130.0
157.03,106.33,1.74,0.0,8.58,8.52,2401.03,6.61,9.23,53.84,58.43,55.38,49.21,0.67,19.6,1.53,60.46,130.0
157.08,106.39,1.72,0.0,8.58,8.52,2402.87,6.61,9.22,53.84,58.45,55.39,49.17,0.66,19.73,1.54,60.46,130.0
156.99,106.31,1.74,0.0,8.57,8.52,2400.64,6.61,9.22,53.86,58.47,55.37,49.14,0.66,19.81,1.55,60.54,130.0
156.99,106.31,1.74,0.0,8.57,8.52,2399.54,6.6,9.22,53.83,58.46,55.38,49.22,0.67,19.56,1.53,60.41,130.0
156.99,106.3,1.75,0.0,8.57,8.51,2399.45,6.6,9.22,53.85,58.45,55.46,49.25,0.66,19.73,1.54,60.33,130.0
156.95,106.27,1.74,0.0,8.57,8.51,2398.22,6.6,9.22,53.89,58.47,55.45,49.27,0.66,19.64,1.53,60.33,130.0
156.96,106.28,1.73,0.0,8.57,8.51,2398.93,6.6,9.22,53.91,58.47,55.46,49.23,0.65,19.78,1.55,60.42,130.0
156.99,106.3,1.73,0.0,8.57,8.51,2400.48,6.6,9.22,53.86,58.46,55.48,49.26,0.67,19.74,1.54,60.33,130.0
156.98,106.3,1.74,0.0,8.57,8.51,2398.54,6.6,9.22,53.85,58.45,55.47,49.3,0.65,19.63,1.53,60.43,130.0
156.98,106.29,1.74,0.0,8.57,8.51,2399.58,6.61,9.22,53.88,58.47,55.46,49.24,0.67,19.79,1.55,60.48,130.0
156.97,106.3,1.74,0.0,8.57,8.51,2399.49,6.61,9.22,53.87,58.47,55.48,49.25,0.65,19.82,1.55,60.48,130.0
156.96,106.27,1.73,0.0,8.57,8.51,2399.85,6.6,9.21,53.87,58.47,55.5,49.28,0.66,19.7,1.54,60.42,130.0
156.95,106.28,1.73,0.0,8.57,8.51,2401.13,6.6,9.22,53.9,58.5,55.49,49.32,0.66,19.56,1.53,60.39,130.0
156.97,106.29,1.73,0.0,8.57,8.51,2401.22,6.6,9.22,53.93,58.51,55.47,49.23,0.67,19.79,1.55,60.42,130.0
156.97,106.28,1.73,0.0,8.57,8.51,2399.67,6.6,9.21,53.88,58.5,55.48,49.26,0.65,19.75,1.55,60.35,130.0
156.96,106.27,1.74,0.0,8.57,8.5,2399.99,6.6,9.21,53.89,58.51,55.51,49.26,0.65,19.83,1.55,60.28,130.0
156.93,106.28,1.74,0.0,8.57,8.51,2401.2,6.6,9.22,53.93,58.54,55.48,49.25,0.66,19.75,1.55,60.36,130.0
156.95,106.26,1.74,0.0,8.56,8.5,2400.57,6.61,9.21,53.9,58.53,55.53,49.3,0.66,19.71,1.55,60.59,130.0
157.05,106.36,1.74,0.0,8.56,8.5,2401.16,6.59,9.22,53.96,58.55,55.5,49.25,0.65,19.85,1.55,60.23,130.0
157.04,106.35,1.74,0.0,8.56,8.5,2401.2,6.6,9.21,53.94,58.57,55.49,49.22,0.66,19.91,1.56,60.42,130.0
157.01,106.32,1.74,0.0,8.56,8.5,2400.3,6.61,9.22,53.9,58.56,55.54,49.21,0.67,20.06,1.57,60.55,130.0
157.09,106.41,1.73,0.0,8.56,8.5,2400.39,6.6,9.22,53.97,58.58,55.5,49.24,0.66,19.89,1.56,60.57,130.0
157.09,106.39,1.74,0.0,8.56,8.5,2400.85,6.59,9.21,53.95,58.6,55.55,49.26,0.68,19.95,1.56,60.2,130.0
157.07,106.36,1.74,0.0,8.56,8.5,2400.78,6.59,9.21,53.95,58.58,55.57,49.37,0.67,19.61,1.54,60.32,130.0
157.02,106.31,1.74,0.0,8.56,8.5,2398.26,6.61,9.21,53.99,58.58,55.54,49.25,0.66,19.93,1.56,60.61,130.0
157.1,106.42,1.74,0.0,8.56,8.5,2400.2,6.6,9.21,53.98,58.6,55.57,49.26,0.68,20.0,1.57,60.53,130.0
157.1,106.41,1.74,0.0,8.56,8.5,2400.45,6.59,9.21,54.01,58.6,55.59,49.33,0.66,19.88,1.56,60.28,130.0
157.12,106.41,1.74,0.0,8.56,8.5,2400.6,6.59,9.21,54.03,58.61,55.56,49.3,0.67,19.91,1.55,60.24,130.0
157.18,106.5,1.75,0.0,8.56,8.5,2401.51,6.6,9.21,54.03,58.63,55.58,49.29,0.66,19.97,1.56,60.5,130.0
157.11,106.41,1.73,0.0,8.56,8.5,2400.18,6.61,9.21,54.05,58.64,55.57,49.32,0.66,19.86,1.55,60.52,130.0
157.05,106.37,1.73,0.0,8.56,8.5,2400.62,6.59,9.21,54.05,58.65,55.62,49.36,0.67,19.84,1.55,60.28,130.0
157.01,106.31,1.74,0.0,8.56,8.5,2398.9,6.61,9.21,54.05,58.66,55.61,49.41,0.66,19.64,1.54,60.55,130.0
157.09,106.4,1.74,0.0,8.55,8.49,2398.38,6.61,9.21,54.03,58.66,55.65,49.35,0.66,19.93,1.56,60.63,130.0
157.06,106.37,1.73,0.0,8.55,8.49,2398.66,6.59,9.21,54.04,58.68,55.64,49.42,0.67,19.7,1.54,60.27,130.0
157.16,106.46,1.73,0.0,8.55,8.49,2401.54,6.6,9.21,54.05,58.68,55.6,49.42,0.67,19.61,1.53,60.5,130.0
157.05,106.35,1.74,0.0,8.55,8.49,2402.05,6.6,9.21,54.08,58.69,55.63,49.41,0.67,19.74,1.54,60.43,130.0
157.04,106.35,1.74,0.0,8.55,8.49,2397.01,6.61,9.21,54.07,58.7,55.66,49.38,0.67,19.9,1.56,60.74,130.0
157.05,106.37,1.74,0.0,8.55,8.49,2394.59,6.59,9.2,54.1,58.72,55.61,49.35,0.68,19.87,1.55,60.42,130.0
157.15,106.44,1.74,0.0,8.55,8.49,2394.86,6.6,9.19,54.11,58.74,55.66,49.42,0.67,19.84,1.54,60.63,130.0
157.08,106.37,1.74,0.0,8.55,8.49,2392.95,6.6,9.19,54.1,58.74,55.67,49.44,0.67,19.81,1.54,60.66,130.0
156.99,106.31,1.74,0.0,8.54,8.48,2393.11,6.61,9.19,54.09,58.75,55.7,49.45,0.66,19.88,1.55,60.76,130.0
157.01,106.33,1.73,0.0,8.54,8.48,2394.66,6.59,9.19,54.1,58.74,55.71,49.46,0.66,19.89,1.55,60.38,130.0
157.0,106.34,1.73,0.0,8.54,8.48,2395.77,6.6,9.19,54.13,58.74,55.72,49.43,0.67,19.97,1.56,60.62,130.0
157.05,106.37,1.74,0.0,8.54,8.48,2395.13,6.59,9.19,54.11,58.74,55.73,49.49,0.67,19.83,1.55,60.39,130.0
156.99,106.32,1.73,0.0,8.55,8.49,2395.41,6.6,9.19,54.13,58.74,55.73,49.45,0.66,20.01,1.56,60.56,130.0
157.05,106.37,1.73,0.0,8.55,8.49,2396.84,6.59,9.2,54.16,58.75,55.7,49.38,0.67,20.11,1.57,60.39,130.0
